user_id,total_spent,avg_transaction_value,transaction_count,unique_categories,most_used_payment_method,avg_risk_score,spending_trend,5D_vector
53,21783.68,2722.96,8,4,Bank Transfer,0.6,5.700147395002314,"[0.6, np.float64(0.5738791623171935), 5.700147395002314, 21783.68, 8]"
54,27018.31,1688.644375,16,6,Bank Transfer,0.9,0.7828069242763036,"[0.9, np.float64(0.5738791623171935), 0.7828069242763036, 27018.31, 16]"
55,83193.69,2868.747931034483,29,6,Credit Card,0.2,0.36561824167932133,"[0.2, np.float64(0.5738791623171935), 0.36561824167932133, 83193.69, 29]"
56,67317.12,2926.831304347826,23,6,Debit Card,0.2,0.41986617373893226,"[0.2, np.float64(0.5738791623171935), 0.41986617373893226, 67317.12, 23]"
57,89913.55,2193.0134146341466,41,6,Mobile Wallet,0.5,1.8623866706518406,"[0.5, np.float64(0.5738791623171935), 1.8623866706518406, 89913.55, 41]"
58,40673.03,2033.6515,20,5,Debit Card,0.4,1.4910189923815338,"[0.4, np.float64(0.5738791623171935), 1.4910189923815338, 40673.03, 20]"
59,46410.16,2210.0076190476193,21,5,Debit Card,0.4,2.5849597311205224,"[0.4, np.float64(0.5738791623171935), 2.5849597311205224, 46410.16, 21]"
60,134482.78,2801.724583333333,48,6,Bank Transfer,0.20000000000000004,2.1257219641231035,"[0.20000000000000004, np.float64(0.5738791623171935), 2.1257219641231035, 134482.78, 48]"
61,87347.52,2495.6434285714286,35,6,Bank Transfer,0.2,1.6547466382645926,"[0.2, np.float64(0.5738791623171935), 1.6547466382645926, 87347.52, 35]"
62,87735.4,2741.73125,32,6,Mobile Wallet,0.2,0.7691212883291607,"[0.2, np.float64(0.5738791623171935), 0.7691212883291607, 87735.4, 32]"
63,72665.78,1963.94,37,6,Bank Transfer,0.2,1.3063922874337,"[0.2, np.float64(0.5738791623171935), 1.3063922874337, 72665.78, 37]"
64,121833.15,2486.3908163265305,49,6,Bank Transfer,0.2,0.4336617283175371,"[0.2, np.float64(0.5738791623171935), 0.4336617283175371, 121833.15, 49]"
65,104342.02,2426.558604651163,43,6,Credit Card,0.39999999999999997,0.4275029322203094,"[0.39999999999999997, np.float64(0.5738791623171935), 0.4275029322203094, 104342.02, 43]"
66,78431.1,2530.0354838709677,31,6,Credit Card,0.2,0.9711688299483422,"[0.2, np.float64(0.5738791623171935), 0.9711688299483422, 78431.1, 31]"
67,62682.54,2611.7725,24,6,Credit Card,0.6,1.270049170334004,"[0.6, np.float64(0.5738791623171935), 1.270049170334004, 62682.54, 24]"
68,35496.53,2730.5023076923076,13,5,Crypto,0.2,1.5045887745828026,"[0.2, np.float64(0.5738791623171935), 1.5045887745828026, 35496.53, 13]"
69,108254.43000000001,2165.0886,50,6,Crypto,0.2,0.8486203177314573,"[0.2, np.float64(0.5738791623171935), 0.8486203177314573, 108254.43000000001, 50]"
70,24070.75,3008.84375,8,5,Debit Card,0.4,0.05802917012649748,"[0.4, np.float64(0.5738791623171935), 0.05802917012649748, 24070.75, 8]"
71,123274.28,2515.801632653061,49,6,Credit Card,0.2,1.3587710339319157,"[0.2, np.float64(0.5738791623171935), 1.3587710339319157, 123274.28, 49]"
72,42918.27,2682.391875,16,6,Debit Card,0.6,1.9876430770503921,"[0.6, np.float64(0.5738791623171935), 1.9876430770503921, 42918.27, 16]"
73,118932.57,2530.4802127659577,47,6,Crypto,0.9000000000000001,1.483355448608351,"[0.9000000000000001, np.float64(0.5738791623171935), 1.483355448608351, 118932.57, 47]"
74,120342.01,2507.1252083333334,48,6,Credit Card,0.4000000000000001,1.9046627295258773,"[0.4000000000000001, np.float64(0.5738791623171935), 1.9046627295258773, 120342.01, 48]"
75,66176.05,2205.8683333333333,30,5,Mobile Wallet,0.4,0.8560646550252847,"[0.4, np.float64(0.5738791623171935), 0.8560646550252847, 66176.05, 30]"
76,96306.54,2602.879459459459,37,6,Credit Card,0.4,0.6503550675017022,"[0.4, np.float64(0.5738791623171935), 0.6503550675017022, 96306.54, 37]"
77,97160.57,2112.186304347826,46,6,Bank Transfer,0.9,2.1445861760512845,"[0.9, np.float64(0.5738791623171935), 2.1445861760512845, 97160.57, 46]"
78,9132.89,1522.1483333333333,6,5,Crypto,0.9,0.3360518285052557,"[0.9, np.float64(0.5738791623171935), 0.3360518285052557, 9132.89, 6]"
79,116410.33,2530.659347826087,46,6,Mobile Wallet,0.2,1.3153139007993733,"[0.2, np.float64(0.5738791623171935), 1.3153139007993733, 116410.33, 46]"
80,79437.33,2269.638,35,6,Crypto,0.6,2.5486036693057805,"[0.6, np.float64(0.5738791623171935), 2.5486036693057805, 79437.33, 35]"
81,111387.37,2475.2748888888887,45,6,Bank Transfer,0.4,0.9471107601906763,"[0.4, np.float64(0.5738791623171935), 0.9471107601906763, 111387.37, 45]"
82,85194.07,2366.5019444444447,36,6,Crypto,0.2,3.5254091909126,"[0.2, np.float64(0.5738791623171935), 3.5254091909126, 85194.07, 36]"
83,37698.04,2094.3355555555554,18,5,Debit Card,0.4,2.4519311242320234,"[0.4, np.float64(0.5738791623171935), 2.4519311242320234, 37698.04, 18]"
84,84677.68,2565.990303030303,33,6,Debit Card,0.2,3.4667698084884417,"[0.2, np.float64(0.5738791623171935), 3.4667698084884417, 84677.68, 33]"
85,95761.41,2736.040285714286,35,6,Bank Transfer,0.5,1.2168125186349732,"[0.5, np.float64(0.5738791623171935), 1.2168125186349732, 95761.41, 35]"
86,69306.36,2566.9022222222225,27,6,Credit Card,0.2,1.0849197504443973,"[0.2, np.float64(0.5738791623171935), 1.0849197504443973, 69306.36, 27]"
87,21022.629999999997,2335.8477777777775,9,4,Bank Transfer,0.2,3.903311723274718,"[0.2, np.float64(0.5738791623171935), 3.903311723274718, 21022.629999999997, 9]"
88,20251.88,2250.208888888889,9,5,Bank Transfer,0.4,0.44915169978425395,"[0.4, np.float64(0.5738791623171935), 0.44915169978425395, 20251.88, 9]"
89,95238.18000000001,2574.004864864865,37,6,Mobile Wallet,0.4,0.39776798507323535,"[0.4, np.float64(0.5738791623171935), 0.39776798507323535, 95238.18000000001, 37]"
90,105898.65,2253.1627659574465,47,6,Crypto,0.2,1.0696000673509716,"[0.2, np.float64(0.5738791623171935), 1.0696000673509716, 105898.65, 47]"
91,90133.52,2731.318787878788,33,6,Crypto,0.4,2.6693381028191068,"[0.4, np.float64(0.5738791623171935), 2.6693381028191068, 90133.52, 33]"
92,12218.189999999999,2036.3649999999998,6,3,Bank Transfer,0.20000000000000004,1.7956593712506685,"[0.20000000000000004, np.float64(0.5738791623171935), 1.7956593712506685, 12218.189999999999, 6]"
93,108921.78,2593.3757142857144,42,6,Crypto,0.4,2.302482868080454,"[0.4, np.float64(0.5738791623171935), 2.302482868080454, 108921.78, 42]"
94,71764.95,2474.653448275862,29,6,Bank Transfer,0.4,1.471547776592962,"[0.4, np.float64(0.5738791623171935), 1.471547776592962, 71764.95, 29]"
95,115503.88,2750.092380952381,42,6,Crypto,0.4,1.1115893726166997,"[0.4, np.float64(0.5738791623171935), 1.1115893726166997, 115503.88, 42]"
96,65634.78,2524.4146153846154,26,6,Bank Transfer,0.2,1.0551810384617086,"[0.2, np.float64(0.5738791623171935), 1.0551810384617086, 65634.78, 26]"
97,116478.68,3148.0724324324324,37,6,Credit Card,0.2,0.7434769348706711,"[0.2, np.float64(0.5738791623171935), 0.7434769348706711, 116478.68, 37]"
98,41242.729999999996,2062.1364999999996,20,6,Bank Transfer,0.4,1.1211484243964964,"[0.4, np.float64(0.5738791623171935), 1.1211484243964964, 41242.729999999996, 20]"
99,38387.54,2020.3968421052632,19,6,Credit Card,0.2,1.1789321935101253,"[0.2, np.float64(0.5738791623171935), 1.1789321935101253, 38387.54, 19]"
100,116025.67,2829.8943902439023,41,6,Bank Transfer,0.20000000000000004,1.4625566845589342,"[0.20000000000000004, np.float64(0.5738791623171935), 1.4625566845589342, 116025.67, 41]"
101,48117.51,3007.344375,16,6,Crypto,0.4,6.905799170922707,"[0.4, np.float64(0.5738791623171935), 6.905799170922707, 48117.51, 16]"
102,60968.37,2344.937307692308,26,6,Debit Card,0.2,2.639797694379043,"[0.2, np.float64(0.5738791623171935), 2.639797694379043, 60968.37, 26]"
103,114348.04,2333.6334693877548,49,6,Crypto,0.4,0.9614927798540912,"[0.4, np.float64(0.5738791623171935), 0.9614927798540912, 114348.04, 49]"
104,13871.04,2311.84,6,3,Bank Transfer,0.4000000000000001,2.000272424740477,"[0.4000000000000001, np.float64(0.5738791623171935), 2.000272424740477, 13871.04, 6]"
105,22375.44,2237.544,10,5,Credit Card,0.2,1.8899157417611916,"[0.2, np.float64(0.5738791623171935), 1.8899157417611916, 22375.44, 10]"
106,101189.61,2529.74025,40,6,Mobile Wallet,0.2,0.7712737105006122,"[0.2, np.float64(0.5738791623171935), 0.7712737105006122, 101189.61, 40]"
107,21060.829999999998,3008.6899999999996,7,5,Mobile Wallet,0.2,0.6631090637505549,"[0.2, np.float64(0.5738791623171935), 0.6631090637505549, 21060.829999999998, 7]"
108,13645.86,2729.172,5,4,Debit Card,0.2,0.26316531701211077,"[0.2, np.float64(0.5738791623171935), 0.26316531701211077, 13645.86, 5]"
109,102505.68,2500.1385365853657,41,6,Bank Transfer,0.6,0.8927709107703364,"[0.6, np.float64(0.5738791623171935), 0.8927709107703364, 102505.68, 41]"
110,64636.86,2810.298260869565,23,6,Debit Card,0.2,1.5119856570461627,"[0.2, np.float64(0.5738791623171935), 1.5119856570461627, 64636.86, 23]"
111,30283.53,2329.5023076923076,13,5,Credit Card,0.7,0.2965998045505631,"[0.7, np.float64(0.5738791623171935), 0.2965998045505631, 30283.53, 13]"
112,91193.95,2682.1749999999997,34,6,Mobile Wallet,0.2,4.423060971071457,"[0.2, np.float64(0.5738791623171935), 4.423060971071457, 91193.95, 34]"
113,117159.13,2724.630930232558,43,6,Debit Card,0.39999999999999997,0.8825247842308331,"[0.39999999999999997, np.float64(0.5738791623171935), 0.8825247842308331, 117159.13, 43]"
114,117669.25,2736.4941860465115,43,6,Debit Card,0.39999999999999997,0.5607190411521249,"[0.39999999999999997, np.float64(0.5738791623171935), 0.5607190411521249, 117669.25, 43]"
115,113349.03,2464.109347826087,46,6,Bank Transfer,0.6,2.8926056537705405,"[0.6, np.float64(0.5738791623171935), 2.8926056537705405, 113349.03, 46]"
116,120253.62,2405.0724,50,6,Crypto,0.9,1.8392702157095047,"[0.9, np.float64(0.5738791623171935), 1.8392702157095047, 120253.62, 50]"
117,90996.67,2459.3694594594594,37,6,Debit Card,0.7,0.6979152981007993,"[0.7, np.float64(0.5738791623171935), 0.6979152981007993, 90996.67, 37]"
118,101091.62,2888.332,35,6,Bank Transfer,0.2,1.4965973413528733,"[0.2, np.float64(0.5738791623171935), 1.4965973413528733, 101091.62, 35]"
119,67120.02,2684.8008,25,5,Bank Transfer,0.2,0.9221717882292003,"[0.2, np.float64(0.5738791623171935), 0.9221717882292003, 67120.02, 25]"
120,56702.909999999996,2577.4049999999997,22,6,Debit Card,0.4,1.65441418261954,"[0.4, np.float64(0.5738791623171935), 1.65441418261954, 56702.909999999996, 22]"
121,93379.52,3012.2425806451615,31,6,Bank Transfer,0.6,0.37805439156369725,"[0.6, np.float64(0.5738791623171935), 0.37805439156369725, 93379.52, 31]"
122,87561.26,2501.7502857142854,35,6,Debit Card,0.9,2.311174428732674,"[0.9, np.float64(0.5738791623171935), 2.311174428732674, 87561.26, 35]"
123,61280.58,2356.9453846153847,26,6,Credit Card,0.4,1.6246048036377416,"[0.4, np.float64(0.5738791623171935), 1.6246048036377416, 61280.58, 26]"
124,72170.8,2488.648275862069,29,6,Debit Card,0.2,2.284299453549351,"[0.2, np.float64(0.5738791623171935), 2.284299453549351, 72170.8, 29]"
125,69736.9,2404.720689655172,29,6,Credit Card,0.2,0.35203503144642617,"[0.2, np.float64(0.5738791623171935), 0.35203503144642617, 69736.9, 29]"
126,80295.65,2433.201515151515,33,6,Debit Card,0.4,0.521349912561969,"[0.4, np.float64(0.5738791623171935), 0.521349912561969, 80295.65, 33]"
127,64380.97,2575.2388,25,6,Credit Card,0.2,1.3077240679897937,"[0.2, np.float64(0.5738791623171935), 1.3077240679897937, 64380.97, 25]"
128,38064.92,2718.922857142857,14,4,Debit Card,0.2,2.417985156561942,"[0.2, np.float64(0.5738791623171935), 2.417985156561942, 38064.92, 14]"
129,62793.22,2511.7288,25,5,Bank Transfer,0.4,1.2757058484303658,"[0.4, np.float64(0.5738791623171935), 1.2757058484303658, 62793.22, 25]"
130,42919.78,2384.432222222222,18,6,Credit Card,0.6,2.534407548707547,"[0.6, np.float64(0.5738791623171935), 2.534407548707547, 42919.78, 18]"
131,64490.24,2480.393846153846,26,6,Bank Transfer,0.4,0.9173136443274682,"[0.4, np.float64(0.5738791623171935), 0.9173136443274682, 64490.24, 26]"
132,92799.13,2442.0823684210527,38,6,Debit Card,0.2,0.9833694404786824,"[0.2, np.float64(0.5738791623171935), 0.9833694404786824, 92799.13, 38]"
133,27878.399999999998,2323.2,12,5,Mobile Wallet,0.20000000000000004,0.34331250635925986,"[0.20000000000000004, np.float64(0.5738791623171935), 0.34331250635925986, 27878.399999999998, 12]"
134,58578.46,2789.4504761904764,21,6,Bank Transfer,0.2,2.135626084716802,"[0.2, np.float64(0.5738791623171935), 2.135626084716802, 58578.46, 21]"
135,117241.35,2726.543023255814,43,6,Credit Card,0.19999999999999998,0.9617101386040839,"[0.19999999999999998, np.float64(0.5738791623171935), 0.9617101386040839, 117241.35, 43]"
136,82781.90000000001,2586.9343750000003,32,6,Debit Card,0.9,2.101738387621782,"[0.9, np.float64(0.5738791623171935), 2.101738387621782, 82781.90000000001, 32]"
137,8482.57,1696.514,5,4,Credit Card,0.8,-0.17345525903610065,"[0.8, np.float64(0.5738791623171935), -0.17345525903610065, 8482.57, 5]"
138,35782.2,1789.11,20,6,Mobile Wallet,0.2,5.216947717802531,"[0.2, np.float64(0.5738791623171935), 5.216947717802531, 35782.2, 20]"
139,71897.75,2479.2327586206898,29,6,Crypto,0.4,3.579195293635429,"[0.4, np.float64(0.5738791623171935), 3.579195293635429, 71897.75, 29]"
140,95247.98,2645.777222222222,36,6,Credit Card,0.2,0.8678804868780601,"[0.2, np.float64(0.5738791623171935), 0.8678804868780601, 95247.98, 36]"
141,61663.32,2936.3485714285716,21,6,Bank Transfer,0.4,0.5623890034175119,"[0.4, np.float64(0.5738791623171935), 0.5623890034175119, 61663.32, 21]"
142,101152.79000000001,2408.3997619047623,42,6,Bank Transfer,0.2,1.7222378899693884,"[0.2, np.float64(0.5738791623171935), 1.7222378899693884, 101152.79000000001, 42]"
143,45649.87,2282.4935,20,6,Credit Card,0.4,0.8268445266609273,"[0.4, np.float64(0.5738791623171935), 0.8268445266609273, 45649.87, 20]"
144,53893.76,2566.369523809524,21,6,Bank Transfer,0.2,1.006032425393641,"[0.2, np.float64(0.5738791623171935), 1.006032425393641, 53893.76, 21]"
145,89448.22,2555.6634285714285,35,6,Crypto,0.9,1.1061360817425308,"[0.9, np.float64(0.5738791623171935), 1.1061360817425308, 89448.22, 35]"
146,58664.52,2444.355,24,6,Bank Transfer,0.20000000000000004,1.9329061136447445,"[0.20000000000000004, np.float64(0.5738791623171935), 1.9329061136447445, 58664.52, 24]"
147,57499.92,2874.996,20,6,Credit Card,0.9,1.1999467676899775,"[0.9, np.float64(0.5738791623171935), 1.1999467676899775, 57499.92, 20]"
148,42010.51,2625.656875,16,6,Bank Transfer,0.4,0.5186739884269002,"[0.4, np.float64(0.5738791623171935), 0.5186739884269002, 42010.51, 16]"
149,119871.87,2663.8193333333334,45,6,Crypto,0.2,0.4944406419488426,"[0.2, np.float64(0.5738791623171935), 0.4944406419488426, 119871.87, 45]"
150,83114.15,2597.3171875,32,6,Credit Card,0.9,0.7393970730401791,"[0.9, np.float64(0.5738791623171935), 0.7393970730401791, 83114.15, 32]"
151,66036.99,2201.233,30,6,Bank Transfer,0.2,3.5592696998197964,"[0.2, np.float64(0.5738791623171935), 3.5592696998197964, 66036.99, 30]"
152,15964.419999999998,2280.6314285714284,7,4,Bank Transfer,0.4,1.7696337691323176,"[0.4, np.float64(0.5738791623171935), 1.7696337691323176, 15964.419999999998, 7]"
153,10725.619999999999,2145.124,5,4,Crypto,0.4,1.2308886082494066,"[0.4, np.float64(0.5738791623171935), 1.2308886082494066, 10725.619999999999, 5]"
154,64951.08,2319.6814285714286,28,6,Crypto,0.2,1.2411186800787803,"[0.2, np.float64(0.5738791623171935), 1.2411186800787803, 64951.08, 28]"
155,95611.45,2584.0932432432433,37,6,Crypto,0.2,0.41196633263389326,"[0.2, np.float64(0.5738791623171935), 0.41196633263389326, 95611.45, 37]"
156,52401.04,2757.9494736842107,19,5,Credit Card,0.4,0.31695492349425186,"[0.4, np.float64(0.5738791623171935), 0.31695492349425186, 52401.04, 19]"
157,66257.26,2070.539375,32,6,Crypto,0.4,0.9255213145070363,"[0.4, np.float64(0.5738791623171935), 0.9255213145070363, 66257.26, 32]"
158,69465.97,2572.8137037037036,27,6,Mobile Wallet,0.4,1.3452880939674463,"[0.4, np.float64(0.5738791623171935), 1.3452880939674463, 69465.97, 27]"
159,96140.1,2746.86,35,6,Mobile Wallet,0.6,0.8487095010951634,"[0.6, np.float64(0.5738791623171935), 0.8487095010951634, 96140.1, 35]"
160,89435.93,2885.0299999999997,31,6,Crypto,0.4,0.8738203764906298,"[0.4, np.float64(0.5738791623171935), 0.8738203764906298, 89435.93, 31]"
161,26312.690000000002,2631.2690000000002,10,5,Bank Transfer,0.9,0.495131330074676,"[0.9, np.float64(0.5738791623171935), 0.495131330074676, 26312.690000000002, 10]"
162,51704.76,1988.6446153846155,26,6,Crypto,0.4,1.141443439459561,"[0.4, np.float64(0.5738791623171935), 1.141443439459561, 51704.76, 26]"
163,108849.88,2473.860909090909,44,6,Mobile Wallet,0.2,1.2379902129478615,"[0.2, np.float64(0.5738791623171935), 1.2379902129478615, 108849.88, 44]"
164,72212.04,2579.0014285714283,28,6,Credit Card,0.6,0.8216304733577149,"[0.6, np.float64(0.5738791623171935), 0.8216304733577149, 72212.04, 28]"
165,46198.77,3299.9121428571425,14,5,Crypto,0.2,0.7007507406043043,"[0.2, np.float64(0.5738791623171935), 0.7007507406043043, 46198.77, 14]"
166,127587.91,2773.6502173913045,46,6,Bank Transfer,0.9,0.9655291790009113,"[0.9, np.float64(0.5738791623171935), 0.9655291790009113, 127587.91, 46]"
167,85206.35,2366.8430555555556,36,6,Bank Transfer,0.4,0.7086306751544647,"[0.4, np.float64(0.5738791623171935), 0.7086306751544647, 85206.35, 36]"
168,40948.0,2274.8888888888887,18,6,Credit Card,0.6,1.0950733479094519,"[0.6, np.float64(0.5738791623171935), 1.0950733479094519, 40948.0, 18]"
169,70316.18,2604.3029629629627,27,6,Mobile Wallet,0.4,0.8588708616336322,"[0.4, np.float64(0.5738791623171935), 0.8588708616336322, 70316.18, 27]"
170,130951.1,2672.4714285714285,49,6,Debit Card,0.2,0.5770723738977126,"[0.2, np.float64(0.5738791623171935), 0.5770723738977126, 130951.1, 49]"
171,51554.6,2454.980952380952,21,6,Crypto,0.4,0.2620871677606521,"[0.4, np.float64(0.5738791623171935), 0.2620871677606521, 51554.6, 21]"
